2023-03-09-18-02: epoch: 31 |tot_loss 10.416564 | iou_loss 3.359871 | l1_loss 1.835510 | conf_loss 29.319177 | cls_loss 0.831289 | reid_loss 0.409574 | time 58.183333
2023-03-09-18-59: epoch: 32 |tot_loss 10.347365 | iou_loss 3.354045 | l1_loss 1.828143 | conf_loss 29.068596 | cls_loss 0.824915 | reid_loss 0.409130 | time 57.600000
2023-03-09-19-57: epoch: 33 |tot_loss 10.263005 | iou_loss 3.346027 | l1_loss 1.820832 | conf_loss 28.780725 | cls_loss 0.819263 | reid_loss 0.407422 | time 57.666667
2023-03-09-20-55: epoch: 34 |tot_loss 10.156434 | iou_loss 3.335399 | l1_loss 1.812936 | conf_loss 28.420129 | cls_loss 0.813431 | reid_loss 0.404920 | time 57.600000
2023-03-09-21-53: epoch: 35 |tot_loss 10.103884 | iou_loss 3.327652 | l1_loss 1.809764 | conf_loss 28.233312 | cls_loss 0.808448 | reid_loss 0.404489 | time 57.616667
2023-03-09-22-50: epoch: 36 |tot_loss 10.048857 | iou_loss 3.318889 | l1_loss 1.805728 | conf_loss 28.043338 | cls_loss 0.802400 | reid_loss 0.403835 | time 57.766667
2023-03-09-23-48: epoch: 37 |tot_loss 9.987355 | iou_loss 3.312556 | l1_loss 1.805961 | conf_loss 27.828186 | cls_loss 0.799676 | reid_loss 0.402564 | time 57.583333
2023-03-10-00-46: epoch: 38 |tot_loss 9.909207 | iou_loss 3.303752 | l1_loss 1.798258 | conf_loss 27.563636 | cls_loss 0.795228 | reid_loss 0.400943 | time 57.650000
2023-03-10-01-43: epoch: 39 |tot_loss 9.871718 | iou_loss 3.295312 | l1_loss 1.790468 | conf_loss 27.434534 | cls_loss 0.790212 | reid_loss 0.400993 | time 57.616667
2023-03-10-02-41: epoch: 40 |tot_loss 9.819076 | iou_loss 3.291475 | l1_loss 1.786094 | conf_loss 27.249688 | cls_loss 0.787022 | reid_loss 0.400170 | time 57.650000
2023-03-10-03-39: epoch: 41 |tot_loss 9.757920 | iou_loss 3.284586 | l1_loss 1.781229 | conf_loss 27.040237 | cls_loss 0.783297 | reid_loss 0.399015 | time 57.766667
2023-03-10-04-37: epoch: 42 |tot_loss 9.695035 | iou_loss 3.279512 | l1_loss 1.778753 | conf_loss 26.820839 | cls_loss 0.780576 | reid_loss 0.397729 | time 57.716667
2023-03-10-05-34: epoch: 43 |tot_loss 9.578290 | iou_loss 3.273251 | l1_loss 1.775726 | conf_loss 26.438178 | cls_loss 0.777215 | reid_loss 0.393485 | time 57.683333
2023-03-10-06-32: epoch: 44 |tot_loss 9.555075 | iou_loss 3.268036 | l1_loss 1.772054 | conf_loss 26.350154 | cls_loss 0.775340 | reid_loss 0.393883 | time 57.666667
2023-03-10-07-30: epoch: 45 |tot_loss 9.502380 | iou_loss 3.260044 | l1_loss 1.766559 | conf_loss 26.174089 | cls_loss 0.772977 | reid_loss 0.392795 | time 57.666667
2023-03-10-08-28: epoch: 46 |tot_loss 9.511571 | iou_loss 3.256425 | l1_loss 1.764047 | conf_loss 26.182750 | cls_loss 0.770679 | reid_loss 0.395004 | time 57.900000
2023-03-10-09-26: epoch: 47 |tot_loss 9.440817 | iou_loss 3.251949 | l1_loss 1.759591 | conf_loss 25.946831 | cls_loss 0.769533 | reid_loss 0.392840 | time 57.766667
2023-03-10-10-24: epoch: 48 |tot_loss 9.340589 | iou_loss 3.243280 | l1_loss 1.753658 | conf_loss 25.619689 | cls_loss 0.767837 | reid_loss 0.389421 | time 57.783333
2023-03-10-11-21: epoch: 49 |tot_loss 9.318302 | iou_loss 3.236372 | l1_loss 1.751130 | conf_loss 25.540615 | cls_loss 0.766730 | reid_loss 0.389514 | time 57.716667
2023-03-10-12-19: epoch: 50 |tot_loss 9.266917 | iou_loss 3.227285 | l1_loss 1.746477 | conf_loss 25.366973 | cls_loss 0.766064 | reid_loss 0.388491 | time 57.733333
2023-03-10-13-18: epoch: 51 |tot_loss 9.208838 | iou_loss 3.220515 | l1_loss 1.744766 | conf_loss 25.174980 | cls_loss 0.763674 | reid_loss 0.386782 | time 58.483333
2023-03-10-14-16: epoch: 52 |tot_loss 9.166162 | iou_loss 3.213992 | l1_loss 1.745285 | conf_loss 25.025528 | cls_loss 0.762938 | reid_loss 0.385957 | time 57.800000
2023-03-10-15-13: epoch: 53 |tot_loss 9.130178 | iou_loss 3.208440 | l1_loss 1.742873 | conf_loss 24.899480 | cls_loss 0.761038 | reid_loss 0.385513 | time 57.816667
2023-03-10-16-11: epoch: 54 |tot_loss 9.073369 | iou_loss 3.205313 | l1_loss 1.735829 | conf_loss 24.718499 | cls_loss 0.759220 | reid_loss 0.383538 | time 57.816667
2023-03-10-17-09: epoch: 55 |tot_loss 9.058648 | iou_loss 3.201281 | l1_loss 1.729297 | conf_loss 24.656617 | cls_loss 0.757961 | reid_loss 0.384436 | time 57.733333
2023-03-10-18-07: epoch: 56 |tot_loss 8.985308 | iou_loss 3.195616 | l1_loss 1.720261 | conf_loss 24.421217 | cls_loss 0.755175 | reid_loss 0.382039 | time 57.966667
2023-03-10-19-05: epoch: 57 |tot_loss 8.941619 | iou_loss 3.190254 | l1_loss 1.715979 | conf_loss 24.278147 | cls_loss 0.753439 | reid_loss 0.380879 | time 57.750000
2023-03-10-20-03: epoch: 58 |tot_loss 8.884680 | iou_loss 3.181060 | l1_loss 1.713337 | conf_loss 24.092828 | cls_loss 0.751301 | reid_loss 0.379208 | time 57.866667
2023-03-10-21-01: epoch: 59 |tot_loss 8.879452 | iou_loss 3.173778 | l1_loss 1.710101 | conf_loss 24.064693 | cls_loss 0.748529 | reid_loss 0.380454 | time 57.716667
2023-03-10-21-58: epoch: 60 |tot_loss 8.815438 | iou_loss 3.170130 | l1_loss 1.705609 | conf_loss 23.857538 | cls_loss 0.747365 | reid_loss 0.378136 | time 57.750000
2023-03-10-22-57: epoch: 61 |tot_loss 8.776958 | iou_loss 3.162997 | l1_loss 1.697759 | conf_loss 23.736109 | cls_loss 0.745570 | reid_loss 0.377241 | time 58.366667
2023-03-10-23-55: epoch: 62 |tot_loss 8.766447 | iou_loss 3.159140 | l1_loss 1.688973 | conf_loss 23.692326 | cls_loss 0.744479 | reid_loss 0.378182 | time 57.700000
2023-03-11-00-52: epoch: 63 |tot_loss 8.702169 | iou_loss 3.154218 | l1_loss 1.686524 | conf_loss 23.484000 | cls_loss 0.740979 | reid_loss 0.375946 | time 57.733333
2023-03-11-01-50: epoch: 64 |tot_loss 8.668635 | iou_loss 3.149965 | l1_loss 1.681494 | conf_loss 23.372456 | cls_loss 0.739375 | reid_loss 0.375288 | time 57.800000
2023-03-11-02-48: epoch: 65 |tot_loss 8.662868 | iou_loss 3.144292 | l1_loss 1.678061 | conf_loss 23.346248 | cls_loss 0.736570 | reid_loss 0.376224 | time 57.700000
2023-03-11-03-46: epoch: 66 |tot_loss 8.606349 | iou_loss 3.138068 | l1_loss 1.665532 | conf_loss 23.167071 | cls_loss 0.735329 | reid_loss 0.374620 | time 58.183333
2023-03-11-04-44: epoch: 67 |tot_loss 8.513656 | iou_loss 3.129631 | l1_loss 1.673305 | conf_loss 22.871024 | cls_loss 0.731954 | reid_loss 0.370444 | time 57.766667
2023-03-11-05-42: epoch: 68 |tot_loss 8.535291 | iou_loss 3.128747 | l1_loss 1.653206 | conf_loss 22.935199 | cls_loss 0.730751 | reid_loss 0.373121 | time 57.766667
2023-03-11-06-40: epoch: 69 |tot_loss 8.423860 | iou_loss 3.112034 | l1_loss 1.668510 | conf_loss 22.584012 | cls_loss 0.725969 | reid_loss 0.367881 | time 57.816667
2023-03-11-07-38: epoch: 70 |tot_loss 8.450970 | iou_loss 3.119144 | l1_loss 1.641142 | conf_loss 22.660286 | cls_loss 0.730425 | reid_loss 0.370770 | time 57.816667
2023-03-11-08-36: epoch: 71 |tot_loss 8.384904 | iou_loss 3.103240 | l1_loss 1.656654 | conf_loss 22.450333 | cls_loss 0.724104 | reid_loss 0.367975 | time 58.416667
2023-03-11-09-34: epoch: 72 |tot_loss 8.339200 | iou_loss 3.104084 | l1_loss 1.632760 | conf_loss 22.308936 | cls_loss 0.722942 | reid_loss 0.366938 | time 57.783333
2023-03-11-10-32: epoch: 73 |tot_loss 8.339198 | iou_loss 3.101018 | l1_loss 1.621919 | conf_loss 22.302927 | cls_loss 0.721933 | reid_loss 0.368211 | time 57.850000
2023-03-11-11-30: epoch: 74 |tot_loss 8.219894 | iou_loss 3.078927 | l1_loss 1.629127 | conf_loss 21.940403 | cls_loss 0.717161 | reid_loss 0.362549 | time 57.733333
2023-03-11-12-27: epoch: 75 |tot_loss 8.282014 | iou_loss 3.090047 | l1_loss 1.604607 | conf_loss 22.120142 | cls_loss 0.720412 | reid_loss 0.367299 | time 57.700000
2023-03-11-13-26: epoch: 76 |tot_loss 8.178518 | iou_loss 3.069012 | l1_loss 1.623053 | conf_loss 21.799805 | cls_loss 0.713469 | reid_loss 0.362307 | time 58.016667
2023-03-11-14-23: epoch: 77 |tot_loss 8.152966 | iou_loss 3.069814 | l1_loss 1.598920 | conf_loss 21.717407 | cls_loss 0.713831 | reid_loss 0.362474 | time 57.766667
2023-03-11-15-21: epoch: 78 |tot_loss 8.165587 | iou_loss 3.059339 | l1_loss 1.591404 | conf_loss 21.758785 | cls_loss 0.712297 | reid_loss 0.364227 | time 57.733333
2023-03-11-16-19: epoch: 79 |tot_loss 8.055720 | iou_loss 3.047263 | l1_loss 1.592281 | conf_loss 21.422675 | cls_loss 0.708880 | reid_loss 0.358939 | time 57.750000
2023-03-11-17-17: epoch: 80 |tot_loss 8.077917 | iou_loss 3.058003 | l1_loss 1.572845 | conf_loss 21.475124 | cls_loss 0.710059 | reid_loss 0.361570 | time 57.766667
2023-03-11-18-15: epoch: 81 |tot_loss 8.034849 | iou_loss 3.043057 | l1_loss 1.585906 | conf_loss 21.336392 | cls_loss 0.706839 | reid_loss 0.359915 | time 58.183333
2023-03-11-19-13: epoch: 82 |tot_loss 8.024548 | iou_loss 3.053758 | l1_loss 1.563955 | conf_loss 21.299431 | cls_loss 0.708643 | reid_loss 0.360266 | time 57.900000
2023-03-11-20-11: epoch: 83 |tot_loss 7.933300 | iou_loss 3.029014 | l1_loss 1.587998 | conf_loss 21.015127 | cls_loss 0.704562 | reid_loss 0.355763 | time 57.766667
2023-03-11-21-09: epoch: 84 |tot_loss 7.950003 | iou_loss 3.040522 | l1_loss 1.553416 | conf_loss 21.056569 | cls_loss 0.705109 | reid_loss 0.358584 | time 57.750000
2023-03-11-22-06: epoch: 85 |tot_loss 7.900198 | iou_loss 3.026544 | l1_loss 1.548741 | conf_loss 20.909093 | cls_loss 0.702438 | reid_loss 0.356777 | time 57.766667
2023-03-11-23-04: epoch: 86 |tot_loss 7.858081 | iou_loss 3.013401 | l1_loss 1.549535 | conf_loss 20.780818 | cls_loss 0.700761 | reid_loss 0.355241 | time 57.866667
2023-03-12-00-02: epoch: 87 |tot_loss 7.803128 | iou_loss 3.013246 | l1_loss 1.531139 | conf_loss 20.613378 | cls_loss 0.698715 | reid_loss 0.353329 | time 57.783333
2023-03-12-01-00: epoch: 88 |tot_loss 7.752475 | iou_loss 3.002842 | l1_loss 1.542494 | conf_loss 20.450795 | cls_loss 0.697322 | reid_loss 0.351010 | time 57.633333
2023-03-12-01-58: epoch: 89 |tot_loss 7.787830 | iou_loss 3.008380 | l1_loss 1.519984 | conf_loss 20.551654 | cls_loss 0.697289 | reid_loss 0.354455 | time 57.716667
