2023-02-04-08-17: epoch: 112 |tot_loss -1.409691 | iou_loss 1.106892 | l1_loss 0.355895 | conf_loss 0.239061 | cls_loss 0.358009 | reid_loss 0.016042 | time 28.133333
2023-02-04-08-45: epoch: 113 |tot_loss -1.407485 | iou_loss 1.104703 | l1_loss 0.355529 | conf_loss 0.237400 | cls_loss 0.357488 | reid_loss 0.016117 | time 28.083333
2023-02-04-09-13: epoch: 114 |tot_loss -1.403831 | iou_loss 1.113056 | l1_loss 0.358087 | conf_loss 0.239286 | cls_loss 0.359494 | reid_loss 0.016060 | time 28.100000
2023-02-04-09-41: epoch: 115 |tot_loss -1.418032 | iou_loss 1.106422 | l1_loss 0.356319 | conf_loss 0.238334 | cls_loss 0.357913 | reid_loss 0.015916 | time 28.083333
2023-02-04-10-10: epoch: 116 |tot_loss -1.418651 | iou_loss 1.110894 | l1_loss 0.357928 | conf_loss 0.239445 | cls_loss 0.359037 | reid_loss 0.015843 | time 28.066667
2023-02-04-10-38: epoch: 117 |tot_loss -1.424193 | iou_loss 1.101180 | l1_loss 0.355055 | conf_loss 0.235950 | cls_loss 0.356757 | reid_loss 0.015898 | time 28.116667
2023-02-04-11-06: epoch: 118 |tot_loss -1.435988 | iou_loss 1.102322 | l1_loss 0.354777 | conf_loss 0.235908 | cls_loss 0.356998 | reid_loss 0.015701 | time 28.100000
2023-02-04-11-34: epoch: 119 |tot_loss -1.438391 | iou_loss 1.100234 | l1_loss 0.353860 | conf_loss 0.234723 | cls_loss 0.356581 | reid_loss 0.015700 | time 28.100000
2023-02-04-12-02: epoch: 120 |tot_loss -1.444380 | iou_loss 1.100620 | l1_loss 0.355010 | conf_loss 0.235215 | cls_loss 0.356711 | reid_loss 0.015589 | time 28.116667
2023-02-04-12-31: epoch: 121 |tot_loss -1.450931 | iou_loss 1.093250 | l1_loss 0.350637 | conf_loss 0.232889 | cls_loss 0.354977 | reid_loss 0.015609 | time 28.083333
2023-02-04-12-59: epoch: 122 |tot_loss -1.463222 | iou_loss 1.090424 | l1_loss 0.350034 | conf_loss 0.232097 | cls_loss 0.354282 | reid_loss 0.015454 | time 28.150000
2023-02-04-13-27: epoch: 123 |tot_loss -1.460878 | iou_loss 1.093016 | l1_loss 0.351435 | conf_loss 0.232497 | cls_loss 0.354921 | reid_loss 0.015453 | time 28.100000
2023-02-04-13-55: epoch: 124 |tot_loss -1.471866 | iou_loss 1.091158 | l1_loss 0.350789 | conf_loss 0.230956 | cls_loss 0.354449 | reid_loss 0.015317 | time 28.083333
2023-02-04-14-23: epoch: 125 |tot_loss -1.474318 | iou_loss 1.090572 | l1_loss 0.350075 | conf_loss 0.231304 | cls_loss 0.354325 | reid_loss 0.015289 | time 28.100000
2023-02-04-14-51: epoch: 126 |tot_loss -1.487036 | iou_loss 1.085655 | l1_loss 0.347696 | conf_loss 0.230200 | cls_loss 0.353213 | reid_loss 0.015166 | time 28.050000
2023-02-04-15-20: epoch: 127 |tot_loss -1.488906 | iou_loss 1.085187 | l1_loss 0.347781 | conf_loss 0.229163 | cls_loss 0.353052 | reid_loss 0.015150 | time 28.033333
2023-02-04-15-48: epoch: 128 |tot_loss -1.500280 | iou_loss 1.080376 | l1_loss 0.345930 | conf_loss 0.227458 | cls_loss 0.351924 | reid_loss 0.015049 | time 28.033333
2023-02-04-16-16: epoch: 129 |tot_loss -1.500508 | iou_loss 1.080759 | l1_loss 0.346319 | conf_loss 0.228026 | cls_loss 0.352108 | reid_loss 0.015035 | time 28.000000
2023-02-04-16-44: epoch: 130 |tot_loss -1.512321 | iou_loss 1.082020 | l1_loss 0.346852 | conf_loss 0.228424 | cls_loss 0.352356 | reid_loss 0.014838 | time 28.033333
2023-02-04-17-12: epoch: 131 |tot_loss -1.514969 | iou_loss 1.074702 | l1_loss 0.344057 | conf_loss 0.226017 | cls_loss 0.350647 | reid_loss 0.014907 | time 28.000000
2023-02-04-17-40: epoch: 132 |tot_loss -1.514315 | iou_loss 1.086300 | l1_loss 0.348681 | conf_loss 0.229127 | cls_loss 0.353349 | reid_loss 0.014752 | time 28.033333
2023-02-04-18-08: epoch: 133 |tot_loss -1.525730 | iou_loss 1.072623 | l1_loss 0.343256 | conf_loss 0.225683 | cls_loss 0.350192 | reid_loss 0.014774 | time 28.016667
2023-02-04-18-36: epoch: 134 |tot_loss -1.536033 | iou_loss 1.072491 | l1_loss 0.343723 | conf_loss 0.224868 | cls_loss 0.350203 | reid_loss 0.014625 | time 28.033333
2023-02-04-19-04: epoch: 135 |tot_loss -1.547131 | iou_loss 1.065978 | l1_loss 0.341030 | conf_loss 0.222610 | cls_loss 0.348608 | reid_loss 0.014559 | time 28.016667
2023-02-04-19-32: epoch: 136 |tot_loss -1.543195 | iou_loss 1.068139 | l1_loss 0.341638 | conf_loss 0.223250 | cls_loss 0.349157 | reid_loss 0.014589 | time 28.016667
2023-02-04-20-00: epoch: 137 |tot_loss -1.538707 | iou_loss 1.073052 | l1_loss 0.343886 | conf_loss 0.224161 | cls_loss 0.350324 | reid_loss 0.014587 | time 28.016667
2023-02-04-20-29: epoch: 138 |tot_loss -1.552557 | iou_loss 1.068804 | l1_loss 0.341955 | conf_loss 0.223169 | cls_loss 0.349320 | reid_loss 0.014445 | time 28.033333
2023-02-04-20-57: epoch: 139 |tot_loss -1.556308 | iou_loss 1.068371 | l1_loss 0.342159 | conf_loss 0.223560 | cls_loss 0.349261 | reid_loss 0.014390 | time 28.050000
2023-02-04-21-25: epoch: 140 |tot_loss -1.565462 | iou_loss 1.062688 | l1_loss 0.340219 | conf_loss 0.221973 | cls_loss 0.347927 | reid_loss 0.014335 | time 28.016667
2023-02-04-21-53: epoch: 141 |tot_loss -1.562663 | iou_loss 1.065563 | l1_loss 0.340705 | conf_loss 0.221690 | cls_loss 0.348640 | reid_loss 0.014349 | time 28.016667
2023-02-04-22-21: epoch: 142 |tot_loss -1.589018 | iou_loss 1.054693 | l1_loss 0.336328 | conf_loss 0.218613 | cls_loss 0.345967 | reid_loss 0.014123 | time 28.016667
2023-02-04-22-49: epoch: 143 |tot_loss -1.581598 | iou_loss 1.057641 | l1_loss 0.337560 | conf_loss 0.218984 | cls_loss 0.346717 | reid_loss 0.014192 | time 28.033333
2023-02-04-23-17: epoch: 144 |tot_loss -1.587577 | iou_loss 1.060873 | l1_loss 0.338952 | conf_loss 0.220102 | cls_loss 0.347526 | reid_loss 0.014059 | time 28.033333
2023-02-04-23-45: epoch: 145 |tot_loss -1.596476 | iou_loss 1.055850 | l1_loss 0.337034 | conf_loss 0.218888 | cls_loss 0.346337 | reid_loss 0.014001 | time 28.016667
2023-02-05-00-13: epoch: 146 |tot_loss -1.594770 | iou_loss 1.056901 | l1_loss 0.337729 | conf_loss 0.218856 | cls_loss 0.346581 | reid_loss 0.014012 | time 27.983333
2023-02-05-00-41: epoch: 147 |tot_loss -1.607980 | iou_loss 1.048803 | l1_loss 0.334357 | conf_loss 0.216483 | cls_loss 0.344621 | reid_loss 0.013940 | time 28.016667
2023-02-05-01-10: epoch: 148 |tot_loss -1.617109 | iou_loss 1.045090 | l1_loss 0.332398 | conf_loss 0.214926 | cls_loss 0.343736 | reid_loss 0.013871 | time 28.033333
2023-02-05-01-38: epoch: 149 |tot_loss -1.617370 | iou_loss 1.047570 | l1_loss 0.333589 | conf_loss 0.215852 | cls_loss 0.344385 | reid_loss 0.013830 | time 28.000000
2023-02-05-02-06: epoch: 150 |tot_loss -1.615853 | iou_loss 1.045784 | l1_loss 0.332838 | conf_loss 0.215721 | cls_loss 0.343890 | reid_loss 0.013875 | time 27.966667
