2023-02-15-23-33: epoch: 1 |tot_loss 1.775707 | iou_loss 3.245667 | l1_loss 0.000000 | conf_loss 3.946450 | cls_loss 0.688247 | reid_loss 0.091375 | time 130.600000
2023-02-16-01-34: epoch: 2 |tot_loss 1.776519 | iou_loss 3.380775 | l1_loss 0.000000 | conf_loss 4.495297 | cls_loss 0.685549 | reid_loss 0.093435 | time 121.266667
2023-02-16-03-35: epoch: 3 |tot_loss 1.714251 | iou_loss 3.329729 | l1_loss 0.000000 | conf_loss 4.291059 | cls_loss 0.681601 | reid_loss 0.090498 | time 120.950000
2023-02-16-05-35: epoch: 4 |tot_loss 1.679676 | iou_loss 3.309928 | l1_loss 0.000000 | conf_loss 4.171466 | cls_loss 0.680691 | reid_loss 0.088936 | time 120.483333
2023-02-16-07-35: epoch: 5 |tot_loss 1.647918 | iou_loss 3.292183 | l1_loss 0.000000 | conf_loss 4.048103 | cls_loss 0.679794 | reid_loss 0.087682 | time 119.966667
2023-02-16-09-41: epoch: 6 |tot_loss 1.614208 | iou_loss 3.270902 | l1_loss 0.000000 | conf_loss 3.943614 | cls_loss 0.678550 | reid_loss 0.086139 | time 125.900000
2023-02-16-11-42: epoch: 7 |tot_loss 1.588091 | iou_loss 3.252956 | l1_loss 0.000000 | conf_loss 3.861970 | cls_loss 0.677431 | reid_loss 0.085003 | time 120.416667
2023-02-16-13-42: epoch: 8 |tot_loss 1.557944 | iou_loss 3.237104 | l1_loss 0.000000 | conf_loss 3.769624 | cls_loss 0.676312 | reid_loss 0.083652 | time 120.000000
2023-02-16-15-42: epoch: 9 |tot_loss 1.538286 | iou_loss 3.225226 | l1_loss 0.000000 | conf_loss 3.707276 | cls_loss 0.675430 | reid_loss 0.082835 | time 119.883333
2023-02-16-17-42: epoch: 10 |tot_loss 1.505432 | iou_loss 3.204551 | l1_loss 0.000000 | conf_loss 3.613541 | cls_loss 0.673982 | reid_loss 0.081397 | time 120.283333
2023-02-16-19-45: epoch: 11 |tot_loss 1.479147 | iou_loss 3.189722 | l1_loss 0.000000 | conf_loss 3.543980 | cls_loss 0.672932 | reid_loss 0.080201 | time 122.316667
2023-02-16-21-45: epoch: 12 |tot_loss 1.445782 | iou_loss 3.169319 | l1_loss 0.000000 | conf_loss 3.461440 | cls_loss 0.671411 | reid_loss 0.078676 | time 120.133333
2023-02-16-23-45: epoch: 13 |tot_loss 1.413362 | iou_loss 3.145903 | l1_loss 0.000000 | conf_loss 3.373783 | cls_loss 0.669507 | reid_loss 0.077364 | time 119.800000
