2023-03-07-14-43: epoch: 1 |tot_loss 6.972508 | iou_loss 3.816795 | l1_loss 0.000000 | conf_loss 20.186465 | cls_loss 2.189771 | reid_loss 0.136865 | time 147.550000
2023-03-07-16-34: epoch: 2 |tot_loss 7.887117 | iou_loss 3.791385 | l1_loss 0.000000 | conf_loss 23.516678 | cls_loss 2.455120 | reid_loss 0.145991 | time 111.266667
2023-03-07-18-22: epoch: 3 |tot_loss 6.928174 | iou_loss 3.728158 | l1_loss 0.000000 | conf_loss 20.318631 | cls_loss 2.049152 | reid_loss 0.134915 | time 107.650000
2023-03-07-20-09: epoch: 4 |tot_loss 6.654065 | iou_loss 3.720134 | l1_loss 0.000000 | conf_loss 19.298175 | cls_loss 1.980138 | reid_loss 0.134144 | time 107.483333
2023-03-07-21-57: epoch: 5 |tot_loss 6.433683 | iou_loss 3.725662 | l1_loss 0.000000 | conf_loss 18.520315 | cls_loss 1.857924 | reid_loss 0.134206 | time 107.266667
2023-03-07-23-44: epoch: 6 |tot_loss 6.218047 | iou_loss 3.735535 | l1_loss 0.000000 | conf_loss 17.787163 | cls_loss 1.695925 | reid_loss 0.134806 | time 107.566667
2023-03-08-01-32: epoch: 7 |tot_loss 6.001741 | iou_loss 3.754226 | l1_loss 0.000000 | conf_loss 17.048085 | cls_loss 1.531498 | reid_loss 0.135222 | time 107.650000
2023-03-08-03-20: epoch: 8 |tot_loss 5.827021 | iou_loss 3.762335 | l1_loss 0.000000 | conf_loss 16.404311 | cls_loss 1.444703 | reid_loss 0.135994 | time 107.366667
2023-03-08-05-07: epoch: 9 |tot_loss 5.616528 | iou_loss 3.756978 | l1_loss 0.000000 | conf_loss 15.635875 | cls_loss 1.395149 | reid_loss 0.134319 | time 107.800000
2023-03-08-06-55: epoch: 10 |tot_loss 5.441690 | iou_loss 3.743143 | l1_loss 0.000000 | conf_loss 15.016492 | cls_loss 1.342630 | reid_loss 0.133038 | time 107.616667
2023-03-08-08-43: epoch: 11 |tot_loss 5.265264 | iou_loss 3.721674 | l1_loss 0.000000 | conf_loss 14.419601 | cls_loss 1.285750 | reid_loss 0.130822 | time 107.550000
2023-03-08-10-30: epoch: 12 |tot_loss 5.117491 | iou_loss 3.696305 | l1_loss 0.000000 | conf_loss 13.943599 | cls_loss 1.220566 | reid_loss 0.129027 | time 107.700000
2023-03-08-12-18: epoch: 13 |tot_loss 4.961733 | iou_loss 3.673299 | l1_loss 0.000000 | conf_loss 13.429908 | cls_loss 1.171237 | reid_loss 0.126515 | time 107.600000
2023-03-08-14-06: epoch: 14 |tot_loss 4.841097 | iou_loss 3.656335 | l1_loss 0.000000 | conf_loss 13.030696 | cls_loss 1.126285 | reid_loss 0.124979 | time 107.650000
2023-03-08-15-53: epoch: 15 |tot_loss 4.749643 | iou_loss 3.646946 | l1_loss 0.000000 | conf_loss 12.717877 | cls_loss 1.086821 | reid_loss 0.124491 | time 107.600000
2023-03-08-16-52: epoch: 16 |tot_loss 13.287061 | iou_loss 3.620975 | l1_loss 2.035487 | conf_loss 39.532023 | cls_loss 1.177610 | reid_loss 0.442657 | time 57.883333
2023-03-08-17-50: epoch: 17 |tot_loss 12.953272 | iou_loss 3.618792 | l1_loss 2.031434 | conf_loss 38.252917 | cls_loss 1.134210 | reid_loss 0.441261 | time 58.000000
2023-03-08-18-48: epoch: 18 |tot_loss 12.659053 | iou_loss 3.610473 | l1_loss 2.024425 | conf_loss 37.146954 | cls_loss 1.090857 | reid_loss 0.439699 | time 57.850000
2023-03-08-19-46: epoch: 19 |tot_loss 12.393010 | iou_loss 3.577472 | l1_loss 1.997101 | conf_loss 36.166331 | cls_loss 1.057128 | reid_loss 0.439486 | time 57.900000
2023-03-08-20-43: epoch: 20 |tot_loss 12.003524 | iou_loss 3.532109 | l1_loss 1.964692 | conf_loss 34.834116 | cls_loss 1.024262 | reid_loss 0.431935 | time 57.816667
2023-03-08-21-41: epoch: 21 |tot_loss 11.747028 | iou_loss 3.488439 | l1_loss 1.938195 | conf_loss 33.961603 | cls_loss 0.986741 | reid_loss 0.428672 | time 57.800000
2023-03-08-22-39: epoch: 22 |tot_loss 11.393185 | iou_loss 3.451034 | l1_loss 1.917483 | conf_loss 32.783472 | cls_loss 0.955023 | reid_loss 0.419474 | time 57.816667
2023-03-08-23-37: epoch: 23 |tot_loss 11.193624 | iou_loss 3.421322 | l1_loss 1.899198 | conf_loss 32.101965 | cls_loss 0.928190 | reid_loss 0.416627 | time 57.916667
2023-03-09-00-35: epoch: 24 |tot_loss 11.035105 | iou_loss 3.399753 | l1_loss 1.887554 | conf_loss 31.556852 | cls_loss 0.909004 | reid_loss 0.414226 | time 57.833333
2023-03-09-01-33: epoch: 25 |tot_loss 10.884729 | iou_loss 3.385569 | l1_loss 1.877223 | conf_loss 31.041248 | cls_loss 0.889332 | reid_loss 0.411571 | time 57.883333
2023-03-09-02-31: epoch: 26 |tot_loss 10.747830 | iou_loss 3.373186 | l1_loss 1.867279 | conf_loss 30.565325 | cls_loss 0.876825 | reid_loss 0.409229 | time 57.833333
